,Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
0,1528215582.0,yarr,Ethereum - Likely Push to 900$. Third Wave in Progress.,"




20 hours ago




Here is a longer term perspective on  Ethereum -0.82% . The market has had a minor decline along with the  bitcoin -0.20%  market after it got rejected by 0.382 fib level. It’s essential that the price breaks above it to give us  bullish  confirmation. If it’s not able to break upwards from the 0.382 fib level, it’s likely to test  support zone  at $500.00 - $530.00 and move lower. 

In the chart above what is notable is that the price is sitting above of MA9, MA13 crossover and inside of the  support zone  while selling power is declining. This signals that the price wants to push higher and before it’s able to do so it needs to take 0.382 fib level down first.  

If you need any help with trading, recommendations or where to search basics just feel free to leave me  DM -1.14%  -2.27% 0.78% in here or in my twitter. I try to respond ASAP! :)  
Happy trading!  

Things to Remember:  
Stop-loss orders are strongly recommended.  
Beware of buying tops or FOMOS, you might end up losing or waiting long periods of time before getting anything back.  
Do your homework before investing.  
 
DISCLAIMER:  
Please be aware I am providing this trading information for your benefit and insight to my trading strategies. You are responsible for your trading and investing decisions. It is highly recommended to do your own research before investing anything.  

Yarr 






20 hours ago





Comment:
					Posted earlier to my twitter on shorter term trade on ethereum as it was forming a bullish divergence and here it broke upwards. 
			









",Long,2638,2,13
1,1528196687.0,TheChartGuys,ETH Hourly EMA 26 resistance for bulls to turn to support,"
ETH has multiple hourly inside bars about to break to determine short term direction.  
The pullback from the high of the bounce is still less than 50% while  BTC -0.20%  and LTC are greater than 50% 
BTC -0.20%  is struggling with  EMA  12 while ETH is showing  relative strength  and is 1 level up to  EMA  26.  
We will still need  BTC -0.20%  to change the hourly trend for the ETH bulls to give the daily candle a nice lower wick.  
Bulls need to set low of day this morning and see a slow bounce today for the  daily chart  to continue to hold the trend change possible. 
Currently in a patience setup, unless any bulls are trying to enter on the daily higher low, which we still are not confident in until the hourly trend changes at the very least.  
",,917,5,38
2,1528179287.0,TomProTrader,ETH/USD - Levels To Buy,"
What's up traders, I hope you're all having a wonderful weekend.  

Let's analyze ETH/USD on the 1D chart  

Ethereum              is falling at a side-wards resistance line on the  daily chart  at 625 level. Price is also under 20 moving average resistance simultaneously. The averages are still separated suggesting the trend is still down, so we need to be mindful of this before immediately assuming to take a long position in the future. 

There is 2 outcomes for  Ethereum              at this stage, which I have outlined below:  

-  Ethereum              falls from current levels into a key hidden  support level  at 470, before retesting and breaking to the upside. With this scenario breaking out of structure is more likely than the below scenario because we are nearer the side-wards  resistance level  and less momentum is needed to breakout. 
-  Ethereum              continues current fall into the lower horizontal  support zone  at 356, before bouncing to the upside. With this scenario it may be slightly harder to break out of side-wards resistance line because it would take much more bull participation and consistency to successfully breakout. 

Although scenario 2 is better for short term upside, I'd rather see scenario 1. Why? Scenario 1 relies on a hidden  support level  that isn't as strong as the level that would be tested on scenario 2.  

I will update this analysis when I receive above 40 likes.
",,3128,10,82
3,1528282743.0,TheChartGuys,ETH 4 Hour Equilibrium ,"
Note the low of this consolidation does not HAVE to hold, that would just be ideal for bulls.  
Keep an eye on the ETHBTC chart as we are looking for some more short term clarity on who the leader is.  
There have been two instances in the last 24 hours where ETH has shown bulls to be a bit more explosive than  BTC             .  
Patient traders are waiting for more clarity on the short term pattern as we patiently wait for bulls to prove themselves. 
Remember we need a daily higher high to confirm the trend change and weekly higher low.  
4 Hour  inside bar  and bull  MACD  cross to watch shorter term.  

",,261,1,10
4,1528218334.0,TradeIndicators,ETHUSD - Waiting for a green candle! + New Indicator Settings!,"
Hope this idea helps! 
Don’t forget to Like/Follow if you enjoyed this post :) 

In this video, I will show you how you can change the Martin  Trend Line  Candle indicator settings to show more profitable trades simply by increasing the input number.  

What I suggest to everyone is that you start with the setting of 8 and then increase and decrease this number to see what works best for your ticker. The lower the input number, the longer the candle runs will be which gives you more of a swing trading type of approach. Increasing this numbers will give you more frequent trades to take.  

What I do is open my chart on a ticker, activate the Martin  Trend Line  Candle indicator, and then tweak the indicator until I see a good pattern forming where the candles have nice long runs where I can enter and exit for good profit. There is no magical number to use, it comes down to taking the time to find a good setting for each ticker. I've spent an entire day finding the right setting on some tickers. It takes some time, but once you get it dialed in, the trades are amazing!  

Get the two indicators we're using to make these profits and come trade with us! 
 
Get The Indicators We’re Using: 
Martin Profit Lines + Buy/Sell Alert 
Martin Trend Candles + Color Change Alert 

Enjoy life, enjoy trading! 
Travis 

This information is not a recommendation to buy or sell. It is to be used for educational purposes only.
",Short,328,0,7
5,1528222030.0,JadeDD,ETH USD Reversal patterns,"
Hey my friends.  

My friend, JasperForex, did not like my explanations in French. 
So, I submit my ETH USD analysis 

Elliot's 5 waves are over !! 
We are currently in a  Head and Shoulders  = reversal patterns 

For the brave, Buy Now. 
or 
Minimize your risk like me. Buy 185 area. 

Potential: 70% & + 

Love u all 
and thanks @asperForex, 
XXX
",,277,1,4
6,1528252603.0,CRYPTO-FEVER,will ETH stay bullish for the next week?,"
Just a thought. 


Don't forget to like if you like this chart 

Disclaimer: This is not financial advice and I am not a financial advisor 

",Long,168,1,4
7,1528238041.0,AlexCH,ETH - Short on channel resistance,"
Setup as shown. SL is above previous high, giving a high r/r. 

",Short,173,0,4
8,1528193594.0,Alteroc,ETH Short - Hidden Bearish Divergence,"




Jun 5




Dear all, 

A short term trade on ETH showing a Hidden  Bearish  Divergence on the 1 hour timeframe. 
Good Risk / Reward ratio of 1.79 

Target profits are as follow: 
1) $575 
2) $565 
3) $555 

Good luck  

All the best from the Crypto Space  



AI Trader assistant (15% discount) --> https://app.aitrader.ai/referral/ap3m9 
https://twitter.com/alteroc_trading 








20 hours ago





Trade closed: stop reached:
					Hidden bullish divergence on higher timeframe was strong. Stop triggered and trade closed.

					
				




",Short,330,12,6
9,1528231384.0,GabrielVasile,ETH inverse head & shoulders,"




16 hours ago




Wait for price confirmation before trading any pattern.






6 hours ago





Comment:










",Long,238,2,2
10,1528207074.0,TradeClass,ETH - BTC June 5-30 Forecast - a Wild Theory,"




23 hours ago




Thanks for your interest in WILD THEORY  

Characteristics and the Basis of this Chart  
- Forecast lines are Fibonacci in nature, not true TA  
- A retrace like this has happened before on a smaller scale  
- Pattern 'cloning' such as this one occurs on a regular basis  
- Low probability of occuring, market fundamentals do NOT support it  

If you are interested in hearing more about WILD THEORY  
- Origins  
- Questions and Answers  
- Summaries  

Then I suggest that you follow me....  
and then go back and READ through my past 9 IDEA publications  

READ ALL THE COMMENTS within those ideas...  
Because that is where I write pages and pages of details.






21 hours ago





Comment:
					What is the basis for a rise from the POV of manipulation? 

Assuming these are huge players... 

I think that a false bull run to say.. 9000 would get world attention. 

At that point, institutional investors will excited and eager. On the other hand, Wallstreet is not ready to get in just yet, they want the price to TANK so they can buy in cheap.  

This tactic hold both factors in check.. 

Then from this 'false top' a big manipulated price drop steals coins from panicked long positions. In turn, institutional investors cringe, further delaying their involvement. 

How long would such a boom and bust cycle continue? Who knows.. but until regulation and big money jumps in.. the market is a sitting duck.

					
				






20 hours ago





Comment:
					Some potential events that could drive the price in either direction.. 

In spite of what most TA theorists will claim, REAL NEWS does affect the price and good market sentiment summaries for the week (as long as it is NOT fake news) is a bonus to price rises. 

One would think these will have good outcomes in the news 

- June 4 to forever - Ripple donated $50 ln to Universities to speed up adoption 
- June 5 to 13 - G7 Summit in Quebec 
- June 5 - Indonesia approves trading as a Commodity 
- June 5 to Infinity - USA's SEC approves new crypto chief and it's a woman :) 
- June 5 to Infinity - Coinbase launching in Japan 
- June 5 to Infinity - DHL is joining the blockchain movement 
- June 5 to infinity - ICO crackdown, big exchanges hailing this as good 
- June 5 - sudden BTC price rise just defied this morning's news 

There are also more significant industry events coming during June.

					
				






19 hours ago





Comment:
					Price movement positives.. 

Dynamic Forecast URL is pointing UP at this minute (1:25 pm Miami USA) 

Suggests price will climb higher 

Negatives.. 

Big resistance at 7600... 

Overbought conditions on BTC

					
				




",,559,4,13
11,1528223672.0,Saeglopur,Massive inversed Head and Shoulders + RSI on the Verge! ,"
Weak  Bitcoin -0.23%  is holding us down. While  BTC -0.23%  made third step on the bottom which we could now consider quite strong  EHT -0.20%  made last low way higher. Will ETH replace  BTC -0.23%  as a leader by the end of the year? :>
",Long,268,1,8
12,1528233806.0,calumon,Ethereum follows Bitcoin's recent bullish movement,"
 Bitcoin              made it's moves. Now it's also time for  Ethereum              to shine - a bit. At least we can say seeing the potential is has. 

Let's begin with what happened recently: We had a bounce at the MA50 just as  Bitcoin              did and  Ethereum              moved up. There is even a breakout of the big  trendline  (after breakout there might be a little consolidation.  

What comes next is probably an uptrend to ~660 level - for now. At ~660 USD there are two big resistances: a) fibonacci level and b) MA200.  

Seeing how high the potential with  MACD  is, we can say that it could work out. It appears that there is a  MACD  cross coming marking another up move and  RSI  is also still not in oversold area.
",Long,320,1,4
13,1528219547.0,ruud_one,ETH:USD Completing Inverse Head and Shoulders?,"
TL:DR - We are nearing completion of right shoulder in a  bullish inverse Head and Shoulders  patter which has the potential to take us to $700 (but I am doubtful we get there).  I am buying with an initial profit target of $660. 

This is the Eth:USD chart with 4 hour candles.  On my last post I used 1 hour candles and talked about the  inverse H&S  pattern but didn't chart it until later on in the post.  Price has since started to finish the right shoulder of the  inverse head and shoulders  pattern.  The neckline is at about $623 which is above both the 10 MA and he dotted red downtrend line. 

To calculate a price object in any  Head and Shoulders  pattern take the distance from the peak of the head to the neckline.  This distance is the general range price will move up or down upon break out of the  H&S .  I conservatively measure a price movement of $80 and with the expected neckline breakout of $623 then this  inverse H&S  pattern has the potential to take us to $700. 

I am doubtful price will make it to $700 and have a more conservative target of $660 - $680.  I am buying now as we finish the right shoulder.  Did I sell at $696 just 2 days ago? Yes, we were heading for a break of the 10MA and I wanted to protect profits in case the  inverse H&S  was invalid.   I am now more confident it is valid and comfortable buying back in at a slightly higher price. 

IF we go  bullish  I will watch the  volume  and price action.  A big spike in  volume  and we may in fact make it to $700.  If we move up on low  volume  then I will be quick to sell at any sign of a reversal. 

What if we break to the downside?  It's entirely possible and I will have stop losses placed to protect against large losses but my current gut feeling is  bullish  based off of the chart. 

***This is not investing advice.  I am not an investing professional. Do not invest what you cannot afford to lose.  All investors should seek guidance from licensed financial advisers and not random people on the internet.***
",,248,0,5
